secid,symbol,exchange,exchangecode,sourceexchange,securitytype
724544309,METID-MAR18,EDM,1013325,EDMF05,600
724544311,METID-JUN18,EDM,1013326,EDMF05,600
724544312,METID-SEP18,EDM,1013327,EDMF05,600
724544313,METID-DEC18,EDM,1013328,EDMF05,600
724544314,MGNTID-MAR18,EDM,1013329,EDMF05,600
724544316,MGNTID-JUN18,EDM,1013330,EDMF05,600
724544317,MGNTID-SEP18,EDM,1013331,EDMF05,600
724544318,MGNTID-DEC18,EDM,1013332,EDMF05,600
724544319,MRWID-MAR18,EDM,1013336,EDMF05,600
724544321,MRWID-JUN18,EDM,1013337,EDMF05,600
724544322,MRWID-SEP18,EDM,1013338,EDMF05,600
724544323,MRWID-DEC18,EDM,1013339,EDMF05,600
724544324,MSFTID-MAR18,EDM,1013341,EDMF05,600
724544326,MSFTID-JUN18,EDM,1013342,EDMF05,600
724544327,MSFTID-SEP18,EDM,1013343,EDMF05,600
724544328,MSFTID-DEC18,EDM,1013344,EDMF05,600
724544329,MTAN-MAR18,EDM,1013345,EDMF02,605
724544331,MTAN-JUN18,EDM,1013346,EDMF02,605
724544332,MTAN-SEP18,EDM,1013347,EDMF02,605
724544333,MTAN-DEC18,EDM,1013348,EDMF02,605
724544334,MUCID-MAR18,EDM,1013352,EDMF05,600
724544336,MUCID-JUN18,EDM,1013353,EDMF05,600
724544337,MUCID-SEP18,EDM,1013354,EDMF05,600
724544338,MUCID-DEC18,EDM,1013355,EDMF05,600
724544339,MEICA1N-MAR18,EDM,1013356,EDMF02,605
724544341,MEICA1N-JUN18,EDM,1013357,EDMF02,605
724544342,MEICA1N-SEP18,EDM,1013358,EDMF02,605
724544343,MEICA1N-DEC18,EDM,1013359,EDMF02,605
724544344,MYLID-MAR18,EDM,1013363,EDMF05,600
724544346,MYLID-JUN18,EDM,1013364,EDMF05,600
724544347,MYLID-SEP18,EDM,1013365,EDMF05,600
724544348,MYLID-DEC18,EDM,1013366,EDMF05,600
724544349,NFLXID-MAR18,EDM,1013368,EDMF05,600
724544351,NFLXID-JUN18,EDM,1013369,EDMF05,600
724544352,NFLXID-SEP18,EDM,1013370,EDMF05,600
724544353,NFLXID-DEC18,EDM,1013371,EDMF05,600
724544354,NKEID-MAR18,EDM,1013372,EDMF05,600
724544356,NKEID-JUN18,EDM,1013373,EDMF05,600
724544357,NKEID-SEP18,EDM,1013374,EDMF05,600
724544358,NKEID-DEC18,EDM,1013375,EDMF05,600
724544359,SNHCA1N-MAR18,EDM,1013379,EDMF02,605
724544361,SNHCA1N-JUN18,EDM,1013380,EDMF02,605
724544362,SNHCA1N-SEP18,EDM,1013381,EDMF02,605
724544363,SNHCA1N-DEC18,EDM,1013382,EDMF02,605
724544364,NTESID-MAR18,EDM,1013386,EDMF05,600
724544366,NTESID-JUN18,EDM,1013387,EDMF05,600
724544367,NTESID-SEP18,EDM,1013388,EDMF05,600
724544368,NTESID-DEC18,EDM,1013389,EDMF05,600
724544369,NVDAID-MAR18,EDM,1013390,EDMF05,600
724544371,NVDAID-JUN18,EDM,1013391,EDMF05,600
724544372,NVDAID-SEP18,EDM,1013392,EDMF05,600
724544373,NVDAID-DEC18,EDM,1013393,EDMF05,600
724544374,MTRID-MAR18,EDM,1013397,EDMF05,600
724544376,MTRID-JUN18,EDM,1013398,EDMF05,600
724544377,MTRID-SEP18,EDM,1013399,EDMF05,600
724544378,MTRID-DEC18,EDM,1013400,EDMF05,600
724544379,OCEN-MAR18,EDM,1013404,EDMF02,605
724544381,OCEN-JUN18,EDM,1013405,EDMF02,605
724544382,OCEN-SEP18,EDM,1013406,EDMF02,605
724544383,OCEN-DEC18,EDM,1013407,EDMF02,605
724544384,OEFID-MAR18,EDM,1013411,EDMF05,600
724544386,OEFID-JUN18,EDM,1013412,EDMF05,600
724544387,OEFID-SEP18,EDM,1013413,EDMF05,600
724544388,OEFID-DEC18,EDM,1013414,EDMF05,600
724544389,OMLID-MAR18,EDM,1013415,EDMF05,600
724544391,OMLID-JUN18,EDM,1013416,EDMF05,600
724544392,OMLID-SEP18,EDM,1013417,EDMF05,600
724544393,OMLID-DEC18,EDM,1013418,EDMF05,600
724544394,OMNN-MAR18,EDM,1013419,EDMF02,605
724544396,OMNN-JUN18,EDM,1013420,EDMF02,605
724544397,OMNN-SEP18,EDM,1013421,EDMF02,605
724544398,OMNN-DEC18,EDM,1013422,EDMF02,605
724544399,PANN-MAR18,EDM,1013426,EDMF02,605
724544401,PANN-JUN18,EDM,1013427,EDMF02,605
724544402,PANN-SEP18,EDM,1013428,EDMF02,605
724544403,PANN-DEC18,EDM,1013429,EDMF02,605
724544404,PYPLID-MAR18,EDM,1013433,EDMF05,600
724544406,PYPLID-JUN18,EDM,1013434,EDMF05,600
724544407,PYPLID-SEP18,EDM,1013435,EDMF05,600
724544408,PYPLID-DEC18,EDM,1013436,EDMF05,600
