secid,symbol,exchange,exchangecode,sourceexchange,securitytype
2133500582,TCP,JSE,30164,ZA02,100
2133003738,YRK,JSE,425,ZA03,100
2133004684,AFE,JSE,427,ZA02,100
2133505167,AEE,JSE,2653,ZA03,100
2133506586,ZA117,JSE,68474,ZA04,107
2133004867,MMI,JSE,230,ZA02,100
2133506914,UBNPNO,JSE,72200,ZA04,186
2133003776,AND,JSE,12393,ZA03,100
2133004722,STXIND,JSE,4033,ZA06,112
2133500475,NEWGBP,JSE,21337,ZA06,400
2133003486,EOH,JSE,2434,ZA02,100
2133504915,CGN,JSE,2658,ZA03,100
2133004142,SFNP,JSE,6375,ZA02,200
2133004615,MUR,JSE,346,ZA02,100
2133504297,LPEGB1,JSE,45040,ZA04,107
2133505098,ESPIBO,JSE,50735,ZA04,108
2133506517,ANGSBA,JSE,68478,ZA04,107
2133504007,ALP,JSE,42997,ZA03,100
927666893,MIM,NAM,2508,ZA12,100
2133004180,WKF,JSE,9100,ZA03,100
2133504808,ACS,JSE,48182,ZA03,100
2133506227,NPNSTL,JSE,64234,ZA04,107
2133004035,CIL,JSE,11022,ZA02,100
2133506555,BTISTF,JSE,69499,ZA04,107
2133505464,ETFRHO,JSE,56322,ZA06,112
2133004691,RBX,JSE,9596,ZA02,100
2133506738,HARSBQ,JSE,71640,ZA04,108
2133004546,INP,JSE,4430,ZA01,100
2133505647,ESPIB7,JSE,59371,ZA04,107
2133506593,AGLSBF,JSE,70519,ZA04,107
2133506921,DBRMIH,JSE,72496,ZA04,186
2133003783,TAS,JSE,8436,ZA03,100
2133004729,JSE,JSE,8290,ZA02,100
2133004584,GRF,JSE,407,ZA02,100
2133003493,BDM,JSE,2003,ZA03,100
2133503503,IAP,JSE,35392,ZA02,104
2133505395,ZA095,JSE,53814,ZA04,186
2133505868,LPECA2,JSE,60802,ZA04,107
2133004622,BAW,JSE,306,ZA02,100
2133504014,ETFPLT,JSE,38899,ZA06,112
2133506234,LPBCA1,JSE,33887,ZA04,107
2133505616,ASHMID,JSE,31966,ZA06,112
2133506562,REMIHM,JSE,69912,ZA04,107
2133004225,BAWP,JSE,1025,ZA02,200
2133505326,NBELN2,JSE,54163,ZA04,107
2133506745,TOPSBW,JSE,71654,ZA04,108
2133506600,IMPSBJ,JSE,70527,ZA04,107
2133500161,SBAOIL,JSE,15200,ZA06,400
2133506928,BGASBO,JSE,72633,ZA04,107
2133003790,WEA,JSE,8120,ZA03,100
2133004263,ORE,JSE,5200,ZA03,100
2133004736,KIO,JSE,8847,ZA02,100
2133500489,GRTIVD,JSE,29594,ZA04,107
2133004591,ARI,JSE,121,ZA02,100
2133505402,CRP,JSE,55436,ZA03,100
2133003683,FFB,JSE,13653,ZA01,100
2133004156,PMV,JSE,2303,ZA03,100
2133004629,AGL,JSE,119,ZA01,100
2133504784,ZA084,JSE,46689,ZA04,186
2133505112,ECSP6,JSE,51064,ZA02,200
2133506531,AGLSBW,JSE,69044,ZA04,108
927666907,SRH,NAM,4688,ZA12,100
2133003721,BRT,JSE,2349,ZA03,100
2133506241,ANH,JSE,64732,ZA02,100
2133506569,TOPSBO,JSE,70112,ZA04,107
2133500130,DBEMER,JSE,15161,ZA06,400
2133505478,ZA099,JSE,54915,ZA04,186
2133506897,DBEXX5,JSE,71898,ZA04,186
2133506607,ANGSBD,JSE,70702,ZA04,107
2133004743,VOD,JSE,12917,ZA01,100
2133004125,STA,JSE,3875,ZA03,100
2133504280,ZA076,JSE,44876,ZA03,400
2133003507,SBPP,JSE,5985,ZA02,200
2133503662,APF,JSE,40364,ZA02,100
927667021,NHL,NAM,31853,ZA11,100
2133500206,SBACI,JSE,19800,ZA06,400
2133505409,TRL,JSE,55467,ZA03,100
2133504791,IMRP5,JSE,48618,ZA02,200
2133500389,NFILBI,JSE,21127,ZA06,112
2133506683,SGLSBQ,JSE,72642,ZA04,108
2133004018,CUL,JSE,312,ZA03,100
2133506538,ANGSBP,JSE,69045,ZA04,108
2133500099,REB,JSE,14986,ZA02,100
2133003728,EMI,JSE,5433,ZA02,100
2133506576,BGASBN,JSE,70093,ZA04,107
2133500137,INPPR,JSE,14865,ZA02,200
2133506904,SNHSBI,JSE,71922,ZA04,107
2133003766,NPKP,JSE,1072,ZA02,200
2133503448,WCC,JSE,36824,ZA03,100
2133004712,GND,JSE,325,ZA02,100
2133004567,MTN,JSE,1852,ZA01,100
2133506614,STXWDM,JSE,70374,ZA06,112
2133503486,ATT,JSE,36242,ZA02,100
2133003659,VLE,JSE,2478,ZA03,100
2133504760,KCCGLD,JSE,46802,ZA06,112
2133500358,GPB,JSE,21187,ZA03,100
927667028,NGNPLD,NAM,46204,ZA12,100
2133506507,NPNSBB,JSE,68487,ZA04,107
927666883,DYL,NAM,11394,ZA11,100
2133004170,WIL,JSE,13820,ZA03,100
2133504798,IMRP2,JSE,48615,ZA02,200
2133504035,LVLTRX,JSE,43098,ZA06,112
2133003735,FSRP,JSE,6362,ZA02,200
2133004208,KRTT,JSE,177,ZA02,1000
2133503417,BGA,JSE,213,ZA01,100
2133004536,SBAS1,JSE,14382,ZA06,400
2133503600,LPBCP9,JSE,40474,ZA04,107
2133504546,ZA080,JSE,45462,ZA04,186
2133506911,UBNPNQ,JSE,72195,ZA04,186
2133003773,PSV,JSE,8187,ZA03,100
2133505202,ZPLP,JSE,51084,ZA02,200
2133505530,GBI,JSE,57546,ZA03,100
2133003811,BEL,JSE,1824,ZA03,100
2133004139,IPS,JSE,8903,ZA03,100
2133004612,SYGUK,JSE,7439,ZA06,112
927667035,TAD,NAM,56454,ZA11,100
2133506514,BILSBN,JSE,68479,ZA04,107
2133004795,AEG,JSE,2672,ZA02,100
927666890,FST,NAM,2503,ZA12,100
2133003704,PTXSPY,JSE,10330,ZA06,112
2133004177,AOO,JSE,442,ZA03,100
2133505751,ECSP10,JSE,60081,ZA02,200
2133506224,RDFSTG,JSE,64232,ZA04,107
2133504187,ZA072,JSE,44296,ZA04,107
2133504660,ECSP1,JSE,47137,ZA02,200
2133505133,ESPIBR,JSE,51349,ZA04,107
2133506552,TOPSBU,JSE,69368,ZA04,108
2133500586,ILE,JSE,10363,ZA03,100
2133505461,EMN,JSE,1879,ZA03,100
2133003742,LAB,JSE,1218,ZA03,100
2133004688,PFG,JSE,11734,ZA02,100
2133504370,ZA081,JSE,45439,ZA04,107
